"";"A";"B";"C01";"C02";"C03";"C04";"C05";"C06";"D";"E";"F01";"F02";"F03";"G";"H";"H1";"I1";"I2";"J";"K";"L";"M + N";"O";"P";"Q";"R + S";"T"
"1";1,15179846468504;0,00479235784404703;0,494584825477002;0,0289123508807538;0,0505910753006746;0,0196745618742214;0,00635373235276809;0,013325968033745;0,00501326500973869;0,0054724561173248;0,0126226929214004;0,0152204344407337;0,0158111695422969;0,00461319126277935;0,00780120846886213;0,00703080394831581;0,0769400004720253;0,186362863528364;0,00468583518590568;0,0036463727196935;0,00110269198502149;0,00308033321121048;0,00663453279914183;0,00511263822461711;0,00641223595621924;0,00934474205988782;0
"2";0,0275006543864046;1,16812500352774;0,0344505013325319;0,0339584302447542;0,0510837919670071;0,240663764802995;0,186019235562162;0,0552898546211167;0,117110365114861;0,0309579826087818;0,0823853363894999;0,140054348471493;0,0773703015368141;0,0211366250364046;0,0388886547347156;0,0539317973547505;0,0188051143293708;0,0161631448185309;0,0125989361318755;0,00632428461247272;0,00280436163642038;0,00691528273553186;0,0137015549276059;0,00685153436415333;0,0263306855370054;0,0180022642685298;0
"3";0,127173593383101;0,00682947361630516;1,21688691903416;0,0105597444712944;0,0261161177131813;0,0256067316978464;0,00824001937199707;0,0102640105717604;0,00803063906849977;0,00721455926089249;0,0102914223073119;0,011410952671659;0,0105529452201094;0,00664985932312002;0,0106802476109679;0,00966696461227597;0,110011147817813;0,233253340231886;0,00720126920656639;0,00530960189198422;0,00135199962924001;0,00483169758389279;0,00915150671036231;0,00736301206740736;0,00642447373205992;0,0109037970660338;0
"4";0,00541528996094815;0,00373989880055825;0,0052807443584796;1,30133544431278;0,0370659730049255;0,00651012344519991;0,00877746691680489;0,0401658073645017;0,00343127217418395;0,00948711570066824;0,0118657673958061;0,00974629126450766;0,0142875400434823;0,00668398099800848;0,00680976004460486;0,00395650063370723;0,00881592902590945;0,00624006906118924;0,00486642799676311;0,00284951420071197;0,000775104357987358;0,00384646980302505;0,0040234890062753;0,00409534263566503;0,00606048906998389;0,010196794150265;0
"5";0,0183481115099921;0,00489370352594283;0,0261571231344083;0,0247096913229789;1,37262734275971;0,0207347946703426;0,0157278239720889;0,107334098363303;0,00665826477892138;0,0081521389733232;0,0308420282971907;0,0218140093419222;0,0211213081519367;0,0111316512248044;0,00950563463950655;0,00778116552554025;0,0132725411193262;0,0121113502610481;0,01980207682189;0,00421030909093474;0,00200343347078092;0,00669155508007891;0,0292706790097367;0,00502722361901032;0,0136767854859858;0,0111231675775101;0
"6";0,150404439883253;0,193754057927356;0,182495571697097;0,187805639454693;0,238764171880219;1,68613231185915;0,160138600404154;0,170579591273196;0,105018386453958;0,13362905593999;0,339437067709453;0,357265826498257;0,323004151824729;0,0782074721037369;0,241851579354258;0,333625562682934;0,0720548508481818;0,0804748968585232;0,033052689867049;0,0194070378197275;0,0107061158019248;0,02946938030314;0,0554466752199513;0,0221793968330077;0,160123305131413;0,0699035594265065;0
"7";0,0217588794354139;0,0189780837908248;0,0307314908707095;0,0273486129949204;0,0474930375727706;0,0291999095691052;1,45091327907886;0,213028015439338;0,0441712956551956;0,0375035584355358;0,181955198096507;0,195864911793195;0,205907026103729;0,0631817910984279;0,0223835627523915;0,0379336748676933;0,0236551326697299;0,0189079787499004;0,0470037418032894;0,0144691584780697;0,00585434393686547;0,00993296939627143;0,0202879436868711;0,0140980778134448;0,0189534446160137;0,0480455891487687;0
"8";0,0012439272385145;0,00190920097137446;0,00198831475649198;0,00750127650391126;0,0145657994229723;0,00428326075045279;0,00677102317782345;1,01770700673174;0,00149792117243477;0,00232357848755848;0,0107475561857036;0,00436672445752303;0,00340476737224669;0,00257767739657763;0,00158334052161471;0,00227884858278159;0,00102926496575235;0,00107796202758856;0,00112741753187518;0,00150610806510061;0,000181798723861957;0,00079680772512388;0,00194460057534701;0,00125739127141394;0,0294306100023002;0,00619583324159626;0
"9";0,0226285935609272;0,0447100917433835;0,0426047950400092;0,052502984548263;0,150634161250177;0,0744587168587486;0,0719702871210621;0,0633959850357972;1,55337188034138;0,108084384926066;0,0297374863699102;0,0340865566589326;0,0296275280916034;0,036573795695504;0,0283936570584198;0,0375570597572679;0,0666885344920062;0,016300370186386;0,0189716617134502;0,0174918672709561;0,00341181999105944;0,0101201232461613;0,0310977608814406;0,0174549362564547;0,0190298524535182;0,0307031116113154;0
"10";0,00462332172887253;0,0049570431333691;0,00574573894046362;0,00726539451870316;0,0125840542051417;0,00426470909837628;0,0386992970481119;0,00903693083902039;0,00442804113564678;1,02408147983725;0,00723895493403369;0,00844763724786403;0,00759549225761382;0,00609716987964647;0,00456735755981005;0,0030239820339235;0,00592772785720803;0,00536250750080199;0,00549159734274559;0,00666268515240401;0,00102544346323258;0,00362785778221066;0,0131307275878906;0,00658025677940701;0,00822240022690911;0,00773912965477483;0
"11";0,000236408687201959;0,000546337749399012;0,000458558601881423;0,0010388126059937;0,0014589540468918;0,000550471110066155;0,000748265554968671;0,00140671131455381;0,000695858527577196;0,00126695976853955;1,00187237111545;0,00133283168895945;0,00109896886085245;0,000840027179876741;0,000755032834407084;0,00041711351844458;0,00138724486951199;0,000435588069189902;0,00142783185430052;0,000912914527587053;0,000395231495511434;0,00100145965597767;0,00159173189586435;0,0010283181553441;0,00227418489286428;0,00122292984367138;0
"12";0,000133310485271718;0,000421753288374763;0,000197810939778458;0,000259440424673526;0,000258711653747198;0,000306741763915789;0,000200955002534422;0,000178792589775022;0,000747831214904958;0,000168823510365166;0,000156382045937062;1,00025805567643;0,000169158919423291;0,000212220139269691;0,000128080102262828;0,00330982579125299;0,000131173032232134;0,000137754297745512;7,07087815983084e-05;5,82650522098963e-05;1,68427390312862e-05;4,19854562614557e-05;7,5034808954526e-05;4,74682330514773e-05;6,67339223696965e-05;7,10883754215399e-05;0
"13";0,00321579329666207;0,00732538106860358;0,00501738963275991;0,00520403736285993;0,00804293599095054;0,00853686965271776;0,00760108853715783;0,0243961524439065;0,0361390043320862;0,0613417243269032;0,186662458986034;0,143009627646288;1,12160412238831;0,0109844556904392;0,00887499547141723;0,00875095053535021;0,0234889788066693;0,00916087877193161;0,00438572658360655;0,0074356427671963;0,024230522982998;0,00733265015417691;0,0370437981273878;0,0278928474765507;0,00683609506254739;0,0268655980330068;0
"14";0,0710339525125673;0,0523788108781815;0,117740988642953;0,105750318912869;0,155351782972935;0,102679991790921;0,158525078382302;0,118855828959783;0,0378417921150897;0,0473814057902646;0,109751653521731;0,126239606647975;0,115706770236362;1,04422307743308;0,0630524116531855;0,123993883568081;0,060172429982559;0,103751187388663;0,0441755059498898;0,0146745569728192;0,00548081297688374;0,0174388616613562;0,0310752916385673;0,0167131465875766;0,0532676444609067;0,0388629925240896;0
