"";"A";"B";"C01";"C02";"C03";"C04";"C05";"C06";"D";"E";"F01";"F02";"F03";"G";"H";"H1";"I1";"I2";"J";"K";"L";"M + N";"O";"P";"Q";"R + S";"T"
"I1";13,9751149993323;84,2556409244211;60,5961732063693;27,9854834284492;16,9861428776968;88,9653893383689;36,6938914740722;7,93902868837085;27,5932573751602;11,4023833028479;35,3849973603619;31,5522255038408;14,1227783021378;349,76477435775;85,9436864817231;48,2328396604969;6,11565176011224;51,5457568674087;141,299673116738;90,7257426449009;28,7785482133147;277,008977168025;61,9005568983726;91,3215230881998;51,9508668646307;182,921273422816;0
"I2";171,888980876321;168,416600503313;267,369860671436;41,2666315578157;23,1952411720938;121,774772900397;62,8754855169702;9,94211496031994;46,2389151958233;44,2633758831143;19,1334375009386;25,1301174389594;20,1551338890827;484,711334298329;306,781504232458;74,8551908679346;136,598867123334;407,907219494211;184,622329542897;509,465220949621;47,4264940956312;243,363694253913;861,144692588785;219,601383807885;130,723394931264;773,403422956763;0
"J";213,904917507151;655,313361141039;537,091595393862;246,888965509383;248,462891297308;493,65083111429;293,999783944769;64,432585632324;651,711158482868;291,154027366085;253,467050598568;325,904243510884;142,599855199507;5407,64148851447;548,201085347203;214,669261277504;282,776479665046;539,479468291353;6412,89227821704;1293,20043801038;578,610333881907;3457,15207213166;4399,66117509261;1664,39379063677;1005,99711878212;845,933617114285;0
"K";873,295085078144;1023,53173661753;1456,66373276252;473,945198636135;384,424517610307;1404,40220104805;685,868008514113;84,9879391075743;916,594829456414;180,104256229898;1134,02198561929;1257,32859422317;3100,90566910397;4037,03737333809;1114,59520076843;1963,10191174103;125,470885412491;294,196570173744;719,636692296842;16361,7675825004;2085,12098714117;1431,12447084977;4374,05939020253;631,604543623345;925,143412684724;627,321974297735;0
"L";38,0134996591601;432,075790936342;143,810638529936;514,16537527705;51,0679738123725;515,046512259542;301,415834989398;50,0540173636052;153,581367009138;452,494363006485;14,0201122394806;15,3192837850941;241,407159419721;6883,81875677472;1033,74177324495;90,2241177574414;107,049000722708;2679,20217260244;1244,77282763637;2145,1974988992;424,880098423193;2750,63168930572;670,289043545053;1460,32186129647;324,125488711057;1350,25549738199;0
"M + N";741,580526924147;3610,66507657552;2511,27985407139;1169,6861983225;892,957548247251;2093,03728371414;844,257857103309;119,430603281918;1605,16270423657;1730,76445220785;1386,25368898296;1443,52134559064;526,705279982335;8579,70825783732;1707,0940510659;741,499030295409;1206,30738350388;931,360860424534;6937,4304561467;5467,58847184829;3103,66033606427;10507,4388434679;17210,8046096951;6575,83953789851;3075,4739470303;2029,78154765202;0
"O";46,9111254446768;172,515996622782;95,212510349405;38,4189451405491;35,4163296248709;151,435304563431;47,1900704921023;6,67126972297653;63,0378651305256;50,1187634304158;44,6300595216804;49,8913186852219;22,9884304406026;498,003045436094;238,204937446872;195,857409719455;37,1111759679498;60,1490568075278;255,732858352287;160,574849062985;81,9890452664831;352,220127013014;484,945797340573;187,540291755053;112,045384967148;70,4134896548943;0
"P";26,6634999212866;141,594573002319;64,2436576205738;35,1064419516369;20,3103508660726;65,8566606971341;18,7960296374431;3,77628341068433;105,413150763258;94,7551204750916;16,2037787690401;26,5661008564045;7,07327030747364;230,425797993751;126,157448223381;52,5046510344474;24,3203463084833;29,2200795174791;157,777612611224;288,163786924868;127,533187626871;206,701472425684;1275,13809825444;759,460773744929;99,1491805924821;58,0198187107724;0
"Q";2,06858283593579;2,83503589485047;4,12045584295535;2,07516680460281;1,16513905950367;4,53522219844905;2,81416610447846;0,444506148549635;0,962255899818705;1,61618556779761;1,75351093516809;1,89153038999516;1,57684591592729;18,1028907527438;3,07967165244643;2,9172236853276;0,688173590864318;7,82602458295739;5,167412803384;6,15033918658499;1,80706767746719;9,15164873864946;36,9796021181619;49,0528599306063;24825,2055026454;3,56923043535545;0
"R + S";77,7258950400283;371,922010041765;162,039523796274;2,78090172923869;39,940708680575;221,011027541673;180,862851406274;21,5386003918736;117,74288544099;84,1760068471761;96,0668935982091;58,0276273817135;34,3383288688428;67,4913554325582;258,119641696495;150,868910499809;29,9143311593004;628,349169900105;455,680221066764;1445,25287517396;71,7568176091735;147,095485179538;1423,36225357768;187,51809062817;154,200605863214;3281,01106665198;0
"T";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
